trial,noise,A_whether
1,1.4,0.064
2,1.4,0.056
3,1.4,0.444
4,1.4,0.502
5,1.4,0.773
6,1.4,0.957
7,1.4,0.028
8,1.4,0.975
9,1.4,0.555
10,1.4,0.614
11,1.4,0.397
12,1.4,0.61
13,1.4,0.988
14,1.4,0.866
15,1.4,0.453
16,1.4,0.621
17,1.4,0.0
18,1.4,0.234
