trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.039,0.018,0.054,1.0,1,0.019,0.017,0.029,0.4,10,1000
2,0.128,0,0.011,0.0,0.02,0.113,0,0.0,0.0,0.0,0.4,10,1000
3,1.0,1,0.95,0.053,0.729,1.0,1,0.957,0.054,0.736,0.4,10,1000
4,1.0,1,0.922,0.0,0.89,1.0,1,1.0,0.078,0.656,0.4,10,1000
5,1.0,1,1.0,0.0,0.499,1.0,1,0.0,0.0,0.0,0.4,10,1000
6,1.0,1,0.986,0.0,0.419,1.0,1,0.0,0.0,0.0,0.4,10,1000
7,1.0,1,0.0,0.0,0.007,1.0,1,1.0,1.0,0.629,0.4,10,1000
8,0.0,0,0.0,0.0,0.183,1.0,1,1.0,1.0,1.0,0.4,10,1000
9,0.0,0,0.0,0.0,0.093,1.0,1,1.0,0.0,1.0,0.4,10,1000
10,0.989,0,0.0,0.0,0.162,1.0,0,1.0,0.0,0.738,0.4,10,1000
11,1.0,1,0.986,0.99,0.929,0.0,0,0.0,0.014,0.251,0.4,10,1000
12,1.0,1,0.998,0.979,0.991,1.0,1,0.0,0.001,0.251,0.4,10,1000
13,0.971,0,0.881,0.0,0.797,0.999,0,0.942,0.0,0.847,0.4,10,1000
14,1.0,0,1.0,0.0,0.633,1.0,0,1.0,0.0,0.589,0.4,10,1000
15,1.0,1,0.0,1.0,0.068,1.0,1,0.0,1.0,0.075,0.4,10,1000
16,1.0,1,0.001,1.0,0.301,0.0,0,0.0,0.999,0.172,0.4,10,1000
17,1.0,1,0.0,0.995,0.005,1.0,1,0.0,0.996,0.3,0.4,10,1000
18,1.0,1,0.0,0.996,0.053,1.0,1,0.0,0.998,0.057,0.4,10,1000
19,1.0,1,0.999,0.0,0.819,1.0,1,1.0,0.0,0.802,0.4,10,1000
20,1.0,1,1.0,0.0,0.79,1.0,1,1.0,0.0,0.618,0.4,10,1000
21,1.0,1,0.893,0.869,0.831,1.0,1,0.0,0.103,0.008,0.4,10,1000
22,1.0,1,1.0,1.0,0.836,1.0,1,0.0,0.0,0.106,0.4,10,1000
23,0.0,0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.893,0.4,10,1000
24,1.0,1,0.212,0.0,0.263,1.0,1,1.0,0.155,0.854,0.4,10,1000
25,1.0,1,0.0,0.001,0.015,1.0,1,0.998,1.0,0.878,0.4,10,1000
26,1.0,1,0.095,0.0,0.114,1.0,1,1.0,0.897,0.577,0.4,10,1000
27,1.0,1,1.0,0.146,0.997,0.0,0,0.0,0.0,0.045,0.4,10,1000
28,1.0,1,1.0,0.0,0.897,0.0,0,0.0,0.0,0.0,0.4,10,1000
29,1.0,1,0.924,0.019,0.64,1.0,1,0.975,0.087,0.602,0.4,10,1000
30,1.0,1,0.955,0.059,0.828,1.0,1,0.942,0.057,0.781,0.4,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.4,10,1000
32,0.0,0,0.0,0.023,0.178,1.0,1,0.063,0.017,0.182,0.4,10,1000
