trial,noise,A_whether
1,1.8,0.127
2,1.8,0.092
3,1.8,0.485
4,1.8,0.505
5,1.8,0.678
6,1.8,0.896
7,1.8,0.081
8,1.8,0.936
9,1.8,0.562
10,1.8,0.584
11,1.8,0.464
12,1.8,0.555
13,1.8,0.949
14,1.8,0.792
15,1.8,0.428
16,1.8,0.582
17,1.8,0.007
18,1.8,0.335
