trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.186,0.101,0.212,1.0,1,0.145,0.119,0.064,0.8,10,1000
2,0.403,0,0.121,0.0,0.116,0.16,0,0.0,0.0,0.0,0.8,10,1000
3,1.0,1,0.844,0.129,0.735,1.0,1,0.854,0.151,0.747,0.8,10,1000
4,1.0,1,0.778,0.001,0.741,1.0,1,1.0,0.185,0.64,0.8,10,1000
5,1.0,1,1.0,0.0,0.539,1.0,1,0.0,0.0,0.0,0.8,10,1000
6,1.0,1,0.849,0.028,0.449,1.0,1,0.042,0.005,0.026,0.8,10,1000
7,1.0,1,0.017,0.0,0.044,1.0,1,1.0,0.983,0.629,0.8,10,1000
8,0.0,0,0.0,0.0,0.208,1.0,1,1.0,1.0,1.0,0.8,10,1000
9,0.0,0,0.0,0.0,0.085,1.0,1,1.0,0.0,0.999,0.8,10,1000
10,0.944,0,0.028,0.0,0.186,1.0,0,0.982,0.0,0.709,0.8,10,1000
11,1.0,1,0.869,0.863,0.815,0.0,0,0.0,0.113,0.24,0.8,10,1000
12,1.0,1,0.958,0.862,0.923,1.0,1,0.0,0.038,0.236,0.8,10,1000
13,0.816,0,0.707,0.0,0.687,0.948,0,0.786,0.0,0.729,0.8,10,1000
14,1.0,0,0.999,0.0,0.628,0.999,0,0.995,0.0,0.589,0.8,10,1000
15,1.0,1,0.0,1.0,0.062,1.0,1,0.0,1.0,0.08,0.8,10,1000
16,1.0,1,0.039,1.0,0.276,0.0,0,0.0,0.956,0.196,0.8,10,1000
17,1.0,1,0.014,0.82,0.044,1.0,1,0.0,0.837,0.278,0.8,10,1000
18,1.0,1,0.0,0.849,0.083,1.0,1,0.002,0.857,0.043,0.8,10,1000
19,1.0,1,0.942,0.001,0.793,1.0,1,0.942,0.0,0.776,0.8,10,1000
20,1.0,1,0.989,0.002,0.769,1.0,1,1.0,0.007,0.601,0.8,10,1000
21,1.0,1,0.706,0.727,0.685,1.0,1,0.001,0.192,0.009,0.8,10,1000
22,1.0,1,1.0,0.999,0.852,1.0,1,0.001,0.0,0.104,0.8,10,1000
23,0.007,0,0.007,0.0,0.011,0.999,0,0.995,0.0,0.896,0.8,10,1000
24,1.0,1,0.425,0.0,0.415,1.0,1,1.0,0.187,0.839,0.8,10,1000
25,1.0,1,0.033,0.058,0.064,1.0,1,0.953,0.906,0.815,0.8,10,1000
26,1.0,1,0.149,0.002,0.144,1.0,1,0.999,0.621,0.59,0.8,10,1000
27,1.0,1,1.0,0.282,0.998,0.0,0,0.0,0.0,0.039,0.8,10,1000
28,1.0,1,1.0,0.023,0.88,0.0,0,0.0,0.0,0.001,0.8,10,1000
29,1.0,1,0.777,0.126,0.568,1.0,1,0.84,0.178,0.524,0.8,10,1000
30,1.0,1,0.788,0.221,0.729,1.0,1,0.723,0.173,0.619,0.8,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.8,10,1000
32,0.0,0,0.0,0.166,0.201,1.0,1,0.328,0.215,0.399,0.8,10,1000
