trial,noise,A_whether
1,1.2,0.035
2,1.2,0.028
3,1.2,0.499
4,1.2,0.528
5,1.2,0.867
6,1.2,0.978
7,1.2,0.013
8,1.2,0.988
9,1.2,0.572
10,1.2,0.585
11,1.2,0.308
12,1.2,0.668
13,1.2,0.994
14,1.2,0.915
15,1.2,0.403
16,1.2,0.629
17,1.2,0.0
18,1.2,0.151
