trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.432,0.234,0.418,1.0,1,0.194,0.156,0.081,1.7,10,1000
2,0.558,0,0.201,0.0,0.173,0.166,0,0.0,0.0,0.0,1.7,10,1000
3,1.0,1,0.892,0.106,0.74,1.0,1,0.878,0.114,0.714,1.7,10,1000
4,1.0,1,0.793,0.024,0.729,1.0,1,0.975,0.165,0.59,1.7,10,1000
5,1.0,1,0.941,0.0,0.468,1.0,1,0.0,0.0,0.0,1.7,10,1000
6,1.0,1,0.619,0.148,0.357,1.0,1,0.16,0.05,0.144,1.7,10,1000
7,1.0,1,0.25,0.0,0.246,1.0,1,1.0,0.746,0.635,1.7,10,1000
8,0.0,0,0.0,0.0,0.157,1.0,1,1.0,1.0,1.0,1.7,10,1000
9,0.0,0,0.0,0.0,0.092,1.0,1,1.0,0.0,1.0,1.7,10,1000
10,0.803,0,0.18,0.0,0.261,0.993,0,0.825,0.0,0.655,1.7,10,1000
11,1.0,1,0.734,0.776,0.694,0.0,0,0.0,0.22,0.215,1.7,10,1000
12,1.0,1,0.835,0.748,0.834,1.0,1,0.0,0.104,0.257,1.7,10,1000
13,0.678,0,0.592,0.0,0.544,0.732,0,0.591,0.0,0.569,1.7,10,1000
14,0.987,0,0.974,0.0,0.586,0.944,0,0.863,0.0,0.593,1.7,10,1000
15,1.0,1,0.002,0.997,0.071,1.0,1,0.003,0.998,0.085,1.7,10,1000
16,1.0,1,0.211,1.0,0.31,0.0,0,0.0,0.778,0.187,1.7,10,1000
17,1.0,1,0.142,0.461,0.171,1.0,1,0.0,0.404,0.18,1.7,10,1000
18,1.0,1,0.076,0.437,0.148,1.0,1,0.048,0.45,0.1,1.7,10,1000
19,1.0,1,0.752,0.065,0.698,1.0,1,0.749,0.06,0.669,1.7,10,1000
20,1.0,1,0.935,0.046,0.738,1.0,1,0.932,0.06,0.557,1.7,10,1000
21,1.0,1,0.522,0.448,0.508,1.0,1,0.062,0.224,0.073,1.7,10,1000
22,1.0,1,1.0,0.923,0.823,1.0,1,0.058,0.0,0.148,1.7,10,1000
23,0.04,0,0.041,0.0,0.031,0.937,0,0.909,0.0,0.842,1.7,10,1000
24,1.0,1,0.612,0.014,0.581,1.0,1,0.973,0.2,0.829,1.7,10,1000
25,1.0,1,0.202,0.187,0.237,1.0,1,0.759,0.61,0.654,1.7,10,1000
26,1.0,1,0.092,0.023,0.092,1.0,1,0.924,0.37,0.557,1.7,10,1000
27,1.0,1,0.994,0.523,0.969,0.0,0,0.0,0.006,0.037,1.7,10,1000
28,1.0,1,0.935,0.173,0.783,0.0,0,0.0,0.007,0.0,1.7,10,1000
29,1.0,1,0.639,0.199,0.449,1.0,1,0.659,0.247,0.432,1.7,10,1000
30,1.0,1,0.628,0.304,0.539,1.0,1,0.49,0.238,0.46,1.7,10,1000
31,1.0,1,0.012,0.014,0.006,1.0,1,0.009,0.01,0.01,1.7,10,1000
32,0.0,0,0.0,0.194,0.186,1.0,1,0.683,0.581,0.686,1.7,10,1000
