trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.019,0.0,0.031,1.0,1,0.0,0.0,0.002,0.2,10,1000
2,0.007,0,0.0,0.0,0.004,0.01,0,0.0,0.0,0.0,0.2,10,1000
3,1.0,1,1.0,0.001,0.754,1.0,1,1.0,0.0,0.726,0.2,10,1000
4,1.0,1,0.993,0.0,0.956,1.0,1,1.0,0.006,0.641,0.2,10,1000
5,1.0,1,1.0,0.0,0.526,1.0,1,0.0,0.0,0.0,0.2,10,1000
6,1.0,1,1.0,0.0,0.443,1.0,1,0.0,0.0,0.001,0.2,10,1000
7,1.0,1,0.0,0.0,0.002,1.0,1,1.0,1.0,0.615,0.2,10,1000
8,0.0,0,0.0,0.0,0.189,1.0,1,1.0,1.0,1.0,0.2,10,1000
9,0.0,0,0.0,0.0,0.099,1.0,1,1.0,0.0,1.0,0.2,10,1000
10,1.0,0,0.0,0.0,0.16,1.0,0,1.0,0.0,0.742,0.2,10,1000
11,1.0,1,1.0,1.0,0.95,0.0,0,0.0,0.0,0.21,0.2,10,1000
12,1.0,1,1.0,1.0,0.996,1.0,1,0.0,0.0,0.246,0.2,10,1000
13,0.998,0,0.985,0.0,0.834,1.0,0,0.999,0.0,0.91,0.2,10,1000
14,1.0,0,1.0,0.0,0.621,1.0,0,1.0,0.0,0.579,0.2,10,1000
15,1.0,1,0.0,1.0,0.069,1.0,1,0.0,1.0,0.075,0.2,10,1000
16,1.0,1,0.0,1.0,0.264,0.0,0,0.0,1.0,0.206,0.2,10,1000
17,1.0,1,0.0,1.0,0.005,1.0,1,0.0,1.0,0.277,0.2,10,1000
18,1.0,1,0.0,1.0,0.052,1.0,1,0.0,1.0,0.052,0.2,10,1000
19,1.0,1,1.0,0.0,0.847,1.0,1,1.0,0.0,0.836,0.2,10,1000
20,1.0,1,1.0,0.0,0.767,1.0,1,1.0,0.0,0.594,0.2,10,1000
21,1.0,1,0.997,0.988,0.947,1.0,1,0.0,0.014,0.013,0.2,10,1000
22,1.0,1,1.0,1.0,0.829,1.0,1,0.0,0.0,0.07,0.2,10,1000
23,0.0,0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.904,0.2,10,1000
24,1.0,1,0.028,0.0,0.111,1.0,1,1.0,0.04,0.848,0.2,10,1000
25,1.0,1,0.0,0.0,0.006,1.0,1,1.0,1.0,0.873,0.2,10,1000
26,1.0,1,0.009,0.0,0.034,1.0,1,1.0,0.993,0.584,0.2,10,1000
27,1.0,1,1.0,0.009,0.996,0.0,0,0.0,0.0,0.039,0.2,10,1000
28,1.0,1,1.0,0.0,0.906,0.0,0,0.0,0.0,0.0,0.2,10,1000
29,1.0,1,0.994,0.0,0.666,1.0,1,1.0,0.003,0.643,0.2,10,1000
30,1.0,1,1.0,0.0,0.887,1.0,1,0.999,0.0,0.832,0.2,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.2,10,1000
32,0.0,0,0.0,0.0,0.2,1.0,1,0.0,0.0,0.118,0.2,10,1000
