trial,noise,A_whether
1,1.2,0.0
2,1.2,0.024
3,1.2,0.556
4,1.2,0.415
5,1.2,0.78
6,1.2,1.0
7,1.2,0.003
8,1.2,0.996
9,1.2,0.551
10,1.2,0.729
11,1.2,1.0
12,1.2,0.0
13,1.2,0.985
14,1.2,0.999
15,1.2,0.331
16,1.2,0.715
17,1.2,0.0
18,1.2,0.375
