trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.409,0.197,0.398,1.0,1,0.191,0.161,0.072,1.5,10,1000
2,0.582,0,0.192,0.0,0.2,0.139,0,0.0,0.0,0.0,1.5,10,1000
3,1.0,1,0.877,0.134,0.738,1.0,1,0.87,0.117,0.741,1.5,10,1000
4,1.0,1,0.761,0.004,0.703,1.0,1,0.988,0.157,0.597,1.5,10,1000
5,1.0,1,0.973,0.0,0.492,1.0,1,0.0,0.0,0.0,1.5,10,1000
6,1.0,1,0.674,0.118,0.376,1.0,1,0.122,0.039,0.12,1.5,10,1000
7,1.0,1,0.203,0.0,0.184,1.0,1,1.0,0.813,0.595,1.5,10,1000
8,0.0,0,0.0,0.0,0.186,1.0,1,1.0,1.0,1.0,1.5,10,1000
9,0.0,0,0.0,0.0,0.088,1.0,1,1.0,0.0,1.0,1.5,10,1000
10,0.816,0,0.154,0.0,0.212,0.998,0,0.88,0.0,0.678,1.5,10,1000
11,1.0,1,0.737,0.765,0.703,0.0,0,0.0,0.207,0.235,1.5,10,1000
12,1.0,1,0.84,0.751,0.811,1.0,1,0.0,0.093,0.246,1.5,10,1000
13,0.706,0,0.62,0.0,0.571,0.809,0,0.625,0.0,0.585,1.5,10,1000
14,0.996,0,0.975,0.0,0.601,0.965,0,0.892,0.0,0.597,1.5,10,1000
15,1.0,1,0.0,1.0,0.076,1.0,1,0.001,1.0,0.065,1.5,10,1000
16,1.0,1,0.187,1.0,0.292,0.0,0,0.0,0.825,0.2,1.5,10,1000
17,1.0,1,0.106,0.526,0.135,1.0,1,0.0,0.448,0.181,1.5,10,1000
18,1.0,1,0.06,0.515,0.122,1.0,1,0.044,0.5,0.058,1.5,10,1000
19,1.0,1,0.783,0.03,0.712,1.0,1,0.799,0.038,0.708,1.5,10,1000
20,1.0,1,0.922,0.033,0.719,1.0,1,0.937,0.028,0.588,1.5,10,1000
21,1.0,1,0.559,0.527,0.533,1.0,1,0.035,0.239,0.036,1.5,10,1000
22,1.0,1,1.0,0.965,0.837,1.0,1,0.045,0.0,0.138,1.5,10,1000
23,0.053,0,0.036,0.0,0.03,0.959,0,0.924,0.0,0.831,1.5,10,1000
24,1.0,1,0.609,0.012,0.539,1.0,1,0.976,0.212,0.835,1.5,10,1000
25,1.0,1,0.185,0.169,0.193,1.0,1,0.775,0.645,0.69,1.5,10,1000
26,1.0,1,0.1,0.026,0.12,1.0,1,0.957,0.421,0.575,1.5,10,1000
27,1.0,1,0.996,0.468,0.982,0.0,0,0.0,0.001,0.04,1.5,10,1000
28,1.0,1,0.942,0.14,0.841,0.0,0,0.0,0.006,0.001,1.5,10,1000
29,1.0,1,0.639,0.208,0.493,1.0,1,0.703,0.232,0.434,1.5,10,1000
30,1.0,1,0.654,0.282,0.552,1.0,1,0.547,0.241,0.453,1.5,10,1000
31,1.0,1,0.002,0.013,0.002,1.0,1,0.005,0.008,0.004,1.5,10,1000
32,0.0,0,0.0,0.196,0.183,1.0,1,0.66,0.518,0.646,1.5,10,1000
