trial,noise,A_whether
1,1.6,0.0
2,1.6,0.089
3,1.6,0.537
4,1.6,0.468
5,1.6,0.631
6,1.6,0.996
7,1.6,0.037
8,1.6,0.979
9,1.6,0.544
10,1.6,0.675
11,1.6,1.0
12,1.6,0.0
13,1.6,0.957
14,1.6,0.999
15,1.6,0.399
16,1.6,0.66
17,1.6,0.0
18,1.6,0.512
