trial,noise,A_whether
1,0.5,0.0
2,0.5,0.0
3,0.5,0.455
4,0.5,0.568
5,0.5,1.0
6,0.5,1.0
7,0.5,0.0
8,0.5,1.0
9,0.5,0.621
10,0.5,0.756
11,0.5,0.117
12,0.5,0.887
13,0.5,1.0
14,0.5,1.0
15,0.5,0.327
16,0.5,0.77
17,0.5,0.0
18,0.5,0.0
