trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.328,0.182,0.338,1.0,1,0.184,0.145,0.066,1.2,10,1000
2,0.492,0,0.19,0.0,0.186,0.127,0,0.0,0.0,0.0,1.2,10,1000
3,1.0,1,0.843,0.147,0.753,1.0,1,0.842,0.123,0.754,1.2,10,1000
4,1.0,1,0.743,0.006,0.74,1.0,1,0.995,0.177,0.639,1.2,10,1000
5,1.0,1,0.99,0.0,0.516,1.0,1,0.0,0.0,0.0,1.2,10,1000
6,1.0,1,0.762,0.086,0.384,1.0,1,0.092,0.023,0.071,1.2,10,1000
7,1.0,1,0.112,0.0,0.111,1.0,1,1.0,0.897,0.582,1.2,10,1000
8,0.0,0,0.0,0.0,0.17,1.0,1,1.0,1.0,1.0,1.2,10,1000
9,0.0,0,0.0,0.0,0.091,1.0,1,1.0,0.0,1.0,1.2,10,1000
10,0.865,0,0.122,0.0,0.192,1.0,0,0.924,0.0,0.682,1.2,10,1000
11,1.0,1,0.753,0.791,0.743,0.0,0,0.0,0.184,0.234,1.2,10,1000
12,1.0,1,0.891,0.792,0.873,1.0,1,0.0,0.085,0.244,1.2,10,1000
13,0.767,0,0.636,0.0,0.64,0.861,0,0.675,0.0,0.674,1.2,10,1000
14,1.0,0,0.993,0.0,0.583,0.985,0,0.942,0.0,0.569,1.2,10,1000
15,1.0,1,0.0,1.0,0.065,1.0,1,0.0,1.0,0.07,1.2,10,1000
16,1.0,1,0.122,1.0,0.283,0.0,0,0.0,0.888,0.191,1.2,10,1000
17,1.0,1,0.057,0.636,0.094,1.0,1,0.0,0.561,0.255,1.2,10,1000
18,1.0,1,0.024,0.652,0.086,1.0,1,0.024,0.606,0.059,1.2,10,1000
19,1.0,1,0.824,0.01,0.713,1.0,1,0.837,0.015,0.722,1.2,10,1000
20,1.0,1,0.965,0.016,0.77,1.0,1,0.964,0.017,0.609,1.2,10,1000
21,1.0,1,0.624,0.63,0.597,1.0,1,0.011,0.227,0.018,1.2,10,1000
22,1.0,1,1.0,0.99,0.829,1.0,1,0.01,0.0,0.129,1.2,10,1000
23,0.024,0,0.029,0.0,0.031,0.979,0,0.969,0.0,0.886,1.2,10,1000
24,1.0,1,0.511,0.001,0.49,1.0,1,0.994,0.205,0.821,1.2,10,1000
25,1.0,1,0.115,0.125,0.158,1.0,1,0.843,0.758,0.75,1.2,10,1000
26,1.0,1,0.121,0.012,0.138,1.0,1,0.985,0.49,0.55,1.2,10,1000
27,1.0,1,1.0,0.395,0.992,0.0,0,0.0,0.0,0.04,1.2,10,1000
28,1.0,1,0.983,0.089,0.865,0.0,0,0.0,0.001,0.0,1.2,10,1000
29,1.0,1,0.68,0.18,0.473,1.0,1,0.746,0.241,0.474,1.2,10,1000
30,1.0,1,0.701,0.277,0.612,1.0,1,0.581,0.242,0.51,1.2,10,1000
31,1.0,1,0.0,0.0,0.004,1.0,1,0.0,0.0,0.0,1.2,10,1000
32,0.0,0,0.0,0.206,0.169,1.0,1,0.553,0.442,0.561,1.2,10,1000
