trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.091,0.068,0.117,1.0,1,0.085,0.065,0.041,0.6,10,1000
2,0.308,0,0.052,0.0,0.071,0.141,0,0.0,0.0,0.0,0.6,10,1000
3,1.0,1,0.904,0.111,0.745,1.0,1,0.893,0.125,0.711,0.6,10,1000
4,1.0,1,0.828,0.0,0.8,1.0,1,1.0,0.138,0.621,0.6,10,1000
5,1.0,1,1.0,0.0,0.517,1.0,1,0.0,0.0,0.0,0.6,10,1000
6,1.0,1,0.932,0.003,0.429,1.0,1,0.005,0.0,0.01,0.6,10,1000
7,1.0,1,0.0,0.0,0.023,1.0,1,1.0,0.998,0.61,0.6,10,1000
8,0.0,0,0.0,0.0,0.178,1.0,1,1.0,1.0,1.0,0.6,10,1000
9,0.0,0,0.0,0.0,0.08,1.0,1,1.0,0.0,1.0,0.6,10,1000
10,0.968,0,0.007,0.0,0.171,1.0,0,1.0,0.0,0.748,0.6,10,1000
11,1.0,1,0.928,0.924,0.867,0.0,0,0.0,0.069,0.215,0.6,10,1000
12,1.0,1,0.989,0.925,0.959,1.0,1,0.0,0.018,0.232,0.6,10,1000
13,0.898,0,0.786,0.0,0.757,0.98,0,0.853,0.0,0.792,0.6,10,1000
14,1.0,0,1.0,0.0,0.616,1.0,0,1.0,0.0,0.581,0.6,10,1000
15,1.0,1,0.0,1.0,0.063,1.0,1,0.0,1.0,0.071,0.6,10,1000
16,1.0,1,0.009,1.0,0.281,0.0,0,0.0,0.995,0.209,0.6,10,1000
17,1.0,1,0.001,0.927,0.019,1.0,1,0.0,0.927,0.297,0.6,10,1000
18,1.0,1,0.0,0.945,0.076,1.0,1,0.0,0.947,0.04,0.6,10,1000
19,1.0,1,0.984,0.0,0.795,1.0,1,0.979,0.0,0.815,0.6,10,1000
20,1.0,1,0.998,0.0,0.768,1.0,1,1.0,0.0,0.602,0.6,10,1000
21,1.0,1,0.773,0.775,0.74,1.0,1,0.0,0.191,0.006,0.6,10,1000
22,1.0,1,1.0,1.0,0.829,1.0,1,0.0,0.0,0.1,0.6,10,1000
23,0.002,0,0.002,0.0,0.002,1.0,0,1.0,0.0,0.914,0.6,10,1000
24,1.0,1,0.323,0.0,0.356,1.0,1,1.0,0.196,0.864,0.6,10,1000
25,1.0,1,0.014,0.018,0.042,1.0,1,0.979,0.974,0.87,0.6,10,1000
26,1.0,1,0.168,0.0,0.159,1.0,1,1.0,0.755,0.566,0.6,10,1000
27,1.0,1,1.0,0.225,0.994,0.0,0,0.0,0.0,0.044,0.6,10,1000
28,1.0,1,1.0,0.002,0.887,0.0,0,0.0,0.0,0.001,0.6,10,1000
29,1.0,1,0.845,0.085,0.575,1.0,1,0.928,0.139,0.586,0.6,10,1000
30,1.0,1,0.877,0.15,0.777,1.0,1,0.819,0.102,0.682,0.6,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.6,10,1000
32,0.0,0,0.0,0.098,0.179,1.0,1,0.198,0.127,0.295,0.6,10,1000
