trial,noise,A_whether
1,1.8,0.0
2,1.8,0.123
3,1.8,0.515
4,1.8,0.46
5,1.8,0.599
6,1.8,0.992
7,1.8,0.047
8,1.8,0.957
9,1.8,0.544
10,1.8,0.663
11,1.8,0.999
12,1.8,0.0
13,1.8,0.941
14,1.8,0.999
15,1.8,0.432
16,1.8,0.678
17,1.8,0.0
18,1.8,0.618
