trial,noise,A_whether
1,1.9,0.145
2,1.9,0.095
3,1.9,0.462
4,1.9,0.467
5,1.9,0.658
6,1.9,0.89
7,1.9,0.099
8,1.9,0.903
9,1.9,0.551
10,1.9,0.578
11,1.9,0.483
12,1.9,0.541
13,1.9,0.935
14,1.9,0.803
15,1.9,0.473
16,1.9,0.592
17,1.9,0.012
18,1.9,0.352
