trial,noise,A_whether
1,1.7,0.0
2,1.7,0.119
3,1.7,0.548
4,1.7,0.464
5,1.7,0.61
6,1.7,0.995
7,1.7,0.03
8,1.7,0.971
9,1.7,0.548
10,1.7,0.686
11,1.7,1.0
12,1.7,0.0
13,1.7,0.937
14,1.7,0.995
15,1.7,0.37
16,1.7,0.68
17,1.7,0.001
18,1.7,0.539
