trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.402,0.229,0.363,1.0,1,0.149,0.157,0.09,2.0,10,1000
2,0.569,0,0.203,0.0,0.182,0.181,0,0.001,0.0,0.0,2.0,10,1000
3,1.0,1,0.883,0.121,0.765,1.0,1,0.893,0.111,0.747,2.0,10,1000
4,1.0,1,0.781,0.043,0.778,1.0,1,0.953,0.154,0.573,2.0,10,1000
5,1.0,1,0.9,0.0,0.469,1.0,1,0.0,0.0,0.0,2.0,10,1000
6,1.0,1,0.593,0.163,0.351,1.0,1,0.183,0.064,0.142,2.0,10,1000
7,1.0,1,0.338,0.0,0.25,1.0,1,1.0,0.672,0.605,2.0,10,1000
8,0.0,0,0.0,0.0,0.166,1.0,1,1.0,1.0,0.999,2.0,10,1000
9,0.0,0,0.0,0.0,0.092,1.0,1,1.0,0.0,1.0,2.0,10,1000
10,0.766,0,0.237,0.0,0.286,0.981,0,0.808,0.0,0.639,2.0,10,1000
11,1.0,1,0.702,0.772,0.675,0.0,0,0.0,0.209,0.228,2.0,10,1000
12,1.0,1,0.815,0.745,0.826,1.0,1,0.0,0.124,0.238,2.0,10,1000
13,0.673,0,0.502,0.0,0.515,0.703,0,0.503,0.0,0.494,2.0,10,1000
14,0.972,0,0.934,0.0,0.609,0.909,0,0.844,0.0,0.565,2.0,10,1000
15,1.0,1,0.012,0.991,0.095,1.0,1,0.006,0.996,0.101,2.0,10,1000
16,1.0,1,0.229,1.0,0.353,0.0,0,0.0,0.747,0.19,2.0,10,1000
17,1.0,1,0.19,0.37,0.178,1.0,1,0.0,0.355,0.171,2.0,10,1000
18,1.0,1,0.109,0.396,0.167,1.0,1,0.07,0.369,0.091,2.0,10,1000
19,1.0,1,0.741,0.074,0.647,1.0,1,0.716,0.069,0.65,2.0,10,1000
20,1.0,1,0.92,0.085,0.725,1.0,1,0.878,0.041,0.526,2.0,10,1000
21,1.0,1,0.473,0.402,0.451,1.0,1,0.09,0.211,0.105,2.0,10,1000
22,1.0,1,1.0,0.89,0.828,1.0,1,0.079,0.0,0.15,2.0,10,1000
23,0.047,0,0.031,0.0,0.031,0.908,0,0.873,0.0,0.79,2.0,10,1000
24,1.0,1,0.661,0.038,0.627,1.0,1,0.942,0.217,0.788,2.0,10,1000
25,1.0,1,0.25,0.212,0.258,1.0,1,0.736,0.543,0.652,2.0,10,1000
26,1.0,1,0.062,0.033,0.087,1.0,1,0.873,0.351,0.535,2.0,10,1000
27,1.0,1,0.972,0.518,0.967,0.0,0,0.0,0.012,0.041,2.0,10,1000
28,1.0,1,0.896,0.219,0.797,0.0,0,0.0,0.027,0.0,2.0,10,1000
29,1.0,1,0.584,0.242,0.444,1.0,1,0.634,0.239,0.381,2.0,10,1000
30,1.0,1,0.571,0.292,0.492,1.0,1,0.464,0.242,0.39,2.0,10,1000
31,1.0,1,0.018,0.037,0.029,1.0,1,0.035,0.045,0.037,2.0,10,1000
32,0.0,0,0.0,0.165,0.173,1.0,1,0.752,0.659,0.734,2.0,10,1000
