trial,noise,A_whether
1,1.6,0.088
2,1.6,0.066
3,1.6,0.443
4,1.6,0.507
5,1.6,0.756
6,1.6,0.921
7,1.6,0.05
8,1.6,0.945
9,1.6,0.553
10,1.6,0.594
11,1.6,0.411
12,1.6,0.585
13,1.6,0.976
14,1.6,0.857
15,1.6,0.425
16,1.6,0.594
17,1.6,0.003
18,1.6,0.299
