trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.031,0.0,0.045,1.0,1,0.002,0.0,0.02,0.3,10,1000
2,0.065,0,0.0,0.0,0.01,0.05,0,0.0,0.0,0.0,0.3,10,1000
3,1.0,1,0.982,0.013,0.695,1.0,1,0.985,0.011,0.702,0.3,10,1000
4,1.0,1,0.963,0.0,0.939,1.0,1,1.0,0.044,0.655,0.3,10,1000
5,1.0,1,1.0,0.0,0.518,1.0,1,0.0,0.0,0.0,0.3,10,1000
6,1.0,1,0.999,0.0,0.43,1.0,1,0.0,0.0,0.0,0.3,10,1000
7,1.0,1,0.0,0.0,0.005,1.0,1,1.0,1.0,0.645,0.3,10,1000
8,0.0,0,0.0,0.0,0.188,1.0,1,1.0,1.0,1.0,0.3,10,1000
9,0.0,0,0.0,0.0,0.092,1.0,1,1.0,0.0,1.0,0.3,10,1000
10,0.998,0,0.0,0.0,0.143,1.0,0,1.0,0.0,0.733,0.3,10,1000
11,1.0,1,0.999,1.0,0.947,0.0,0,0.0,0.002,0.227,0.3,10,1000
12,1.0,1,1.0,0.997,1.0,1.0,1,0.0,0.0,0.242,0.3,10,1000
13,0.992,0,0.943,0.0,0.824,1.0,0,0.98,0.0,0.87,0.3,10,1000
14,1.0,0,1.0,0.0,0.588,1.0,0,1.0,0.0,0.602,0.3,10,1000
15,1.0,1,0.0,1.0,0.073,1.0,1,0.0,1.0,0.068,0.3,10,1000
16,1.0,1,0.0,1.0,0.29,0.0,0,0.0,1.0,0.192,0.3,10,1000
17,1.0,1,0.0,1.0,0.005,1.0,1,0.0,0.999,0.314,0.3,10,1000
18,1.0,1,0.0,1.0,0.059,1.0,1,0.0,1.0,0.053,0.3,10,1000
19,1.0,1,1.0,0.0,0.817,1.0,1,1.0,0.0,0.823,0.3,10,1000
20,1.0,1,1.0,0.0,0.793,1.0,1,1.0,0.0,0.615,0.3,10,1000
21,1.0,1,0.941,0.94,0.918,1.0,1,0.0,0.058,0.013,0.3,10,1000
22,1.0,1,1.0,1.0,0.839,1.0,1,0.0,0.0,0.082,0.3,10,1000
23,0.0,0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.919,0.3,10,1000
24,1.0,1,0.113,0.0,0.208,1.0,1,1.0,0.084,0.878,0.3,10,1000
25,1.0,1,0.0,0.0,0.006,1.0,1,1.0,1.0,0.874,0.3,10,1000
26,1.0,1,0.044,0.0,0.076,1.0,1,1.0,0.952,0.585,0.3,10,1000
27,1.0,1,1.0,0.06,0.995,0.0,0,0.0,0.0,0.035,0.3,10,1000
28,1.0,1,1.0,0.0,0.898,0.0,0,0.0,0.0,0.001,0.3,10,1000
29,1.0,1,0.962,0.002,0.643,1.0,1,0.994,0.035,0.647,0.3,10,1000
30,1.0,1,0.979,0.011,0.877,1.0,1,0.98,0.014,0.814,0.3,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.3,10,1000
32,0.0,0,0.0,0.001,0.166,1.0,1,0.017,0.0,0.139,0.3,10,1000
