trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.296,0.153,0.267,1.0,1,0.166,0.126,0.057,1.0,10,1000
2,0.473,0,0.15,0.0,0.153,0.137,0,0.0,0.0,0.0,1.0,10,1000
3,1.0,1,0.848,0.126,0.743,1.0,1,0.856,0.154,0.749,1.0,10,1000
4,1.0,1,0.735,0.001,0.738,1.0,1,0.999,0.198,0.631,1.0,10,1000
5,1.0,1,0.994,0.0,0.506,1.0,1,0.0,0.0,0.0,1.0,10,1000
6,1.0,1,0.804,0.071,0.418,1.0,1,0.062,0.012,0.053,1.0,10,1000
7,1.0,1,0.054,0.0,0.074,1.0,1,1.0,0.958,0.641,1.0,10,1000
8,0.0,0,0.0,0.0,0.173,1.0,1,1.0,1.0,1.0,1.0,10,1000
9,0.0,0,0.0,0.0,0.106,1.0,1,1.0,0.0,1.0,1.0,10,1000
10,0.9,0,0.059,0.0,0.191,1.0,0,0.964,0.0,0.696,1.0,10,1000
11,1.0,1,0.82,0.804,0.747,0.0,0,0.0,0.187,0.204,1.0,10,1000
12,1.0,1,0.917,0.787,0.903,1.0,1,0.0,0.065,0.242,1.0,10,1000
13,0.758,0,0.707,0.0,0.673,0.895,0,0.721,0.0,0.712,1.0,10,1000
14,1.0,0,0.997,0.0,0.58,0.999,0,0.973,0.0,0.602,1.0,10,1000
15,1.0,1,0.0,1.0,0.073,1.0,1,0.0,1.0,0.062,1.0,10,1000
16,1.0,1,0.095,1.0,0.284,0.0,0,0.0,0.895,0.16,1.0,10,1000
17,1.0,1,0.032,0.719,0.069,1.0,1,0.0,0.715,0.253,1.0,10,1000
18,1.0,1,0.009,0.728,0.097,1.0,1,0.017,0.737,0.054,1.0,10,1000
19,1.0,1,0.885,0.005,0.758,1.0,1,0.882,0.002,0.76,1.0,10,1000
20,1.0,1,0.978,0.005,0.783,1.0,1,0.993,0.007,0.571,1.0,10,1000
21,1.0,1,0.676,0.68,0.607,1.0,1,0.002,0.196,0.011,1.0,10,1000
22,1.0,1,1.0,0.993,0.83,1.0,1,0.003,0.0,0.119,1.0,10,1000
23,0.023,0,0.018,0.0,0.016,0.995,0,0.982,0.0,0.884,1.0,10,1000
24,1.0,1,0.454,0.001,0.486,1.0,1,0.999,0.205,0.835,1.0,10,1000
25,1.0,1,0.063,0.093,0.105,1.0,1,0.909,0.814,0.79,1.0,10,1000
26,1.0,1,0.136,0.004,0.138,1.0,1,0.99,0.542,0.561,1.0,10,1000
27,1.0,1,1.0,0.336,0.993,0.0,0,0.0,0.001,0.04,1.0,10,1000
28,1.0,1,0.995,0.043,0.887,0.0,0,0.0,0.0,0.0,1.0,10,1000
29,1.0,1,0.731,0.159,0.531,1.0,1,0.817,0.203,0.499,1.0,10,1000
30,1.0,1,0.712,0.272,0.663,1.0,1,0.663,0.196,0.569,1.0,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,1.0,10,1000
32,0.0,0,0.0,0.192,0.184,1.0,1,0.462,0.359,0.496,1.0,10,1000
