trial,noise,A_whether
1,1.9,0.0
2,1.9,0.132
3,1.9,0.517
4,1.9,0.468
5,1.9,0.564
6,1.9,0.99
7,1.9,0.058
8,1.9,0.943
9,1.9,0.526
10,1.9,0.638
11,1.9,1.0
12,1.9,0.001
13,1.9,0.915
14,1.9,0.991
15,1.9,0.412
16,1.9,0.653
17,1.9,0.002
18,1.9,0.613
