trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.397,0.196,0.388,1.0,1,0.195,0.147,0.084,1.4,10,1000
2,0.543,0,0.191,0.0,0.18,0.157,0,0.0,0.0,0.0,1.4,10,1000
3,1.0,1,0.855,0.118,0.717,1.0,1,0.879,0.134,0.753,1.4,10,1000
4,1.0,1,0.763,0.006,0.714,1.0,1,0.991,0.184,0.602,1.4,10,1000
5,1.0,1,0.985,0.0,0.476,1.0,1,0.0,0.0,0.0,1.4,10,1000
6,1.0,1,0.731,0.132,0.374,1.0,1,0.139,0.04,0.099,1.4,10,1000
7,1.0,1,0.142,0.0,0.17,1.0,1,1.0,0.837,0.615,1.4,10,1000
8,0.0,0,0.0,0.0,0.179,1.0,1,1.0,1.0,1.0,1.4,10,1000
9,0.0,0,0.0,0.0,0.088,1.0,1,1.0,0.0,1.0,1.4,10,1000
10,0.826,0,0.147,0.0,0.231,0.999,0,0.89,0.0,0.719,1.4,10,1000
11,1.0,1,0.725,0.781,0.691,0.0,0,0.0,0.183,0.24,1.4,10,1000
12,1.0,1,0.879,0.76,0.847,1.0,1,0.0,0.11,0.232,1.4,10,1000
13,0.724,0,0.599,0.0,0.612,0.827,0,0.64,0.0,0.618,1.4,10,1000
14,0.998,0,0.985,0.0,0.579,0.978,0,0.923,0.0,0.583,1.4,10,1000
15,1.0,1,0.0,1.0,0.077,1.0,1,0.0,1.0,0.088,1.4,10,1000
16,1.0,1,0.171,1.0,0.325,0.0,0,0.0,0.849,0.201,1.4,10,1000
17,1.0,1,0.089,0.559,0.115,1.0,1,0.0,0.492,0.203,1.4,10,1000
18,1.0,1,0.049,0.557,0.108,1.0,1,0.039,0.522,0.061,1.4,10,1000
19,1.0,1,0.796,0.023,0.718,1.0,1,0.802,0.025,0.705,1.4,10,1000
20,1.0,1,0.942,0.021,0.748,1.0,1,0.955,0.034,0.602,1.4,10,1000
21,1.0,1,0.585,0.547,0.571,1.0,1,0.025,0.223,0.034,1.4,10,1000
22,1.0,1,1.0,0.974,0.825,1.0,1,0.029,0.0,0.131,1.4,10,1000
23,0.04,0,0.02,0.0,0.018,0.97,0,0.946,0.0,0.849,1.4,10,1000
24,1.0,1,0.558,0.005,0.526,1.0,1,0.988,0.237,0.843,1.4,10,1000
25,1.0,1,0.155,0.153,0.189,1.0,1,0.826,0.687,0.698,1.4,10,1000
26,1.0,1,0.101,0.025,0.098,1.0,1,0.966,0.439,0.556,1.4,10,1000
27,1.0,1,0.996,0.414,0.994,0.0,0,0.0,0.001,0.036,1.4,10,1000
28,1.0,1,0.96,0.117,0.837,0.0,0,0.0,0.003,0.0,1.4,10,1000
29,1.0,1,0.667,0.199,0.478,1.0,1,0.687,0.217,0.406,1.4,10,1000
30,1.0,1,0.669,0.316,0.606,1.0,1,0.567,0.242,0.465,1.4,10,1000
31,1.0,1,0.0,0.004,0.002,1.0,1,0.003,0.002,0.0,1.4,10,1000
32,0.0,0,0.0,0.201,0.172,1.0,1,0.622,0.513,0.606,1.4,10,1000
