trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.416,0.225,0.393,1.0,1,0.18,0.156,0.084,1.9,10,1000
2,0.573,0,0.169,0.0,0.165,0.189,0,0.0,0.0,0.0,1.9,10,1000
3,1.0,1,0.875,0.107,0.747,1.0,1,0.889,0.105,0.756,1.9,10,1000
4,1.0,1,0.796,0.048,0.732,1.0,1,0.957,0.169,0.586,1.9,10,1000
5,1.0,1,0.902,0.0,0.49,1.0,1,0.0,0.0,0.0,1.9,10,1000
6,1.0,1,0.613,0.167,0.349,1.0,1,0.16,0.065,0.136,1.9,10,1000
7,1.0,1,0.317,0.0,0.274,1.0,1,1.0,0.679,0.629,1.9,10,1000
8,0.0,0,0.0,0.0,0.178,1.0,1,1.0,1.0,0.999,1.9,10,1000
9,0.0,0,0.0,0.0,0.088,1.0,1,1.0,0.0,1.0,1.9,10,1000
10,0.765,0,0.221,0.0,0.265,0.98,0,0.785,0.0,0.651,1.9,10,1000
11,1.0,1,0.711,0.767,0.686,0.0,0,0.0,0.203,0.237,1.9,10,1000
12,1.0,1,0.826,0.715,0.837,1.0,1,0.0,0.112,0.243,1.9,10,1000
13,0.662,0,0.544,0.0,0.495,0.73,0,0.536,0.0,0.516,1.9,10,1000
14,0.984,0,0.957,0.0,0.563,0.936,0,0.85,0.0,0.586,1.9,10,1000
15,1.0,1,0.005,0.99,0.098,1.0,1,0.003,0.992,0.087,1.9,10,1000
16,1.0,1,0.245,1.0,0.313,0.0,0,0.0,0.793,0.176,1.9,10,1000
17,1.0,1,0.171,0.454,0.181,1.0,1,0.0,0.336,0.173,1.9,10,1000
18,1.0,1,0.133,0.426,0.169,1.0,1,0.085,0.389,0.084,1.9,10,1000
19,1.0,1,0.736,0.07,0.663,1.0,1,0.728,0.079,0.672,1.9,10,1000
20,1.0,1,0.922,0.065,0.727,1.0,1,0.897,0.051,0.558,1.9,10,1000
21,1.0,1,0.491,0.42,0.443,1.0,1,0.077,0.23,0.076,1.9,10,1000
22,1.0,1,1.0,0.899,0.827,1.0,1,0.087,0.0,0.141,1.9,10,1000
23,0.074,0,0.049,0.0,0.043,0.929,0,0.892,0.0,0.818,1.9,10,1000
24,1.0,1,0.648,0.022,0.614,1.0,1,0.956,0.216,0.816,1.9,10,1000
25,1.0,1,0.234,0.192,0.252,1.0,1,0.713,0.568,0.622,1.9,10,1000
26,1.0,1,0.074,0.025,0.097,1.0,1,0.902,0.365,0.542,1.9,10,1000
27,1.0,1,0.984,0.527,0.973,0.0,0,0.0,0.003,0.028,1.9,10,1000
28,1.0,1,0.901,0.191,0.791,0.0,0,0.0,0.017,0.002,1.9,10,1000
29,1.0,1,0.635,0.25,0.416,1.0,1,0.623,0.236,0.4,1.9,10,1000
30,1.0,1,0.565,0.299,0.518,1.0,1,0.468,0.247,0.415,1.9,10,1000
31,1.0,1,0.014,0.021,0.026,1.0,1,0.027,0.035,0.016,1.9,10,1000
32,0.0,0,0.0,0.179,0.172,1.0,1,0.731,0.634,0.725,1.9,10,1000
