trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.419,0.232,0.402,1.0,1,0.171,0.167,0.093,1.8,10,1000
2,0.581,0,0.19,0.0,0.187,0.166,0,0.0,0.0,0.0,1.8,10,1000
3,1.0,1,0.883,0.113,0.764,1.0,1,0.885,0.106,0.718,1.8,10,1000
4,1.0,1,0.763,0.026,0.741,1.0,1,0.955,0.161,0.605,1.8,10,1000
5,1.0,1,0.93,0.0,0.465,1.0,1,0.0,0.0,0.0,1.8,10,1000
6,1.0,1,0.644,0.168,0.371,1.0,1,0.182,0.071,0.141,1.8,10,1000
7,1.0,1,0.281,0.0,0.209,1.0,1,1.0,0.739,0.601,1.8,10,1000
8,0.0,0,0.0,0.0,0.189,1.0,1,1.0,1.0,1.0,1.8,10,1000
9,0.0,0,0.0,0.0,0.102,1.0,1,1.0,0.0,1.0,1.8,10,1000
10,0.783,0,0.225,0.0,0.249,0.985,0,0.821,0.0,0.637,1.8,10,1000
11,1.0,1,0.721,0.788,0.668,0.0,0,0.0,0.22,0.212,1.8,10,1000
12,1.0,1,0.848,0.731,0.818,1.0,1,0.0,0.106,0.23,1.8,10,1000
13,0.65,0,0.541,0.0,0.553,0.75,0,0.561,0.0,0.513,1.8,10,1000
14,0.976,0,0.969,0.0,0.61,0.939,0,0.877,0.0,0.574,1.8,10,1000
15,1.0,1,0.004,0.998,0.08,1.0,1,0.0,0.997,0.098,1.8,10,1000
16,1.0,1,0.214,1.0,0.304,0.0,0,0.0,0.795,0.192,1.8,10,1000
17,1.0,1,0.163,0.453,0.173,1.0,1,0.0,0.364,0.16,1.8,10,1000
18,1.0,1,0.09,0.41,0.13,1.0,1,0.058,0.4,0.1,1.8,10,1000
19,1.0,1,0.753,0.056,0.672,1.0,1,0.714,0.065,0.649,1.8,10,1000
20,1.0,1,0.93,0.046,0.724,1.0,1,0.914,0.047,0.551,1.8,10,1000
21,1.0,1,0.513,0.464,0.472,1.0,1,0.068,0.224,0.071,1.8,10,1000
22,1.0,1,1.0,0.917,0.818,1.0,1,0.079,0.0,0.154,1.8,10,1000
23,0.059,0,0.032,0.0,0.033,0.927,0,0.904,0.0,0.789,1.8,10,1000
24,1.0,1,0.632,0.015,0.627,1.0,1,0.954,0.218,0.816,1.8,10,1000
25,1.0,1,0.209,0.178,0.216,1.0,1,0.735,0.579,0.639,1.8,10,1000
26,1.0,1,0.076,0.027,0.096,1.0,1,0.91,0.349,0.515,1.8,10,1000
27,1.0,1,0.983,0.501,0.972,0.0,0,0.0,0.017,0.037,1.8,10,1000
28,1.0,1,0.902,0.191,0.811,0.0,0,0.0,0.014,0.0,1.8,10,1000
29,1.0,1,0.64,0.218,0.445,1.0,1,0.645,0.235,0.441,1.8,10,1000
30,1.0,1,0.607,0.323,0.545,1.0,1,0.503,0.254,0.415,1.8,10,1000
31,1.0,1,0.01,0.025,0.018,1.0,1,0.016,0.017,0.014,1.8,10,1000
32,0.0,0,0.0,0.159,0.208,1.0,1,0.712,0.596,0.701,1.8,10,1000
