trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.39,0.185,0.372,1.0,1,0.196,0.13,0.08,1.3,10,1000
2,0.531,0,0.201,0.0,0.183,0.137,0,0.0,0.0,0.0,1.3,10,1000
3,1.0,1,0.864,0.139,0.725,1.0,1,0.84,0.146,0.729,1.3,10,1000
4,1.0,1,0.725,0.004,0.716,1.0,1,0.998,0.167,0.614,1.3,10,1000
5,1.0,1,0.983,0.0,0.492,1.0,1,0.0,0.0,0.0,1.3,10,1000
6,1.0,1,0.73,0.107,0.389,1.0,1,0.108,0.033,0.094,1.3,10,1000
7,1.0,1,0.136,0.0,0.152,1.0,1,1.0,0.872,0.633,1.3,10,1000
8,0.0,0,0.0,0.0,0.204,1.0,1,1.0,1.0,1.0,1.3,10,1000
9,0.0,0,0.0,0.0,0.089,1.0,1,1.0,0.0,1.0,1.3,10,1000
10,0.849,0,0.141,0.0,0.198,0.999,0,0.904,0.0,0.692,1.3,10,1000
11,1.0,1,0.753,0.765,0.716,0.0,0,0.0,0.197,0.224,1.3,10,1000
12,1.0,1,0.891,0.753,0.865,1.0,1,0.0,0.102,0.252,1.3,10,1000
13,0.742,0,0.631,0.0,0.604,0.819,0,0.671,0.0,0.664,1.3,10,1000
14,0.996,0,0.991,0.0,0.594,0.979,0,0.934,0.0,0.588,1.3,10,1000
15,1.0,1,0.0,1.0,0.076,1.0,1,0.0,1.0,0.089,1.3,10,1000
16,1.0,1,0.155,1.0,0.29,0.0,0,0.0,0.847,0.2,1.3,10,1000
17,1.0,1,0.073,0.608,0.111,1.0,1,0.0,0.546,0.214,1.3,10,1000
18,1.0,1,0.044,0.584,0.111,1.0,1,0.033,0.629,0.055,1.3,10,1000
19,1.0,1,0.804,0.015,0.709,1.0,1,0.813,0.02,0.699,1.3,10,1000
20,1.0,1,0.946,0.016,0.763,1.0,1,0.968,0.027,0.588,1.3,10,1000
21,1.0,1,0.579,0.588,0.56,1.0,1,0.012,0.244,0.027,1.3,10,1000
22,1.0,1,1.0,0.975,0.817,1.0,1,0.03,0.0,0.117,1.3,10,1000
23,0.037,0,0.033,0.0,0.028,0.98,0,0.961,0.0,0.866,1.3,10,1000
24,1.0,1,0.559,0.008,0.511,1.0,1,0.993,0.217,0.833,1.3,10,1000
25,1.0,1,0.137,0.127,0.144,1.0,1,0.844,0.716,0.739,1.3,10,1000
26,1.0,1,0.124,0.012,0.131,1.0,1,0.975,0.457,0.587,1.3,10,1000
27,1.0,1,0.998,0.401,0.987,0.0,0,0.0,0.001,0.04,1.3,10,1000
28,1.0,1,0.969,0.114,0.844,0.0,0,0.0,0.002,0.0,1.3,10,1000
29,1.0,1,0.693,0.211,0.48,1.0,1,0.737,0.206,0.432,1.3,10,1000
30,1.0,1,0.677,0.266,0.616,1.0,1,0.589,0.208,0.5,1.3,10,1000
31,1.0,1,0.001,0.001,0.0,1.0,1,0.001,0.0,0.002,1.3,10,1000
32,0.0,0,0.0,0.209,0.172,1.0,1,0.557,0.477,0.606,1.3,10,1000
