trial,noise,A_whether
1,1.5,0.089
2,1.5,0.053
3,1.5,0.458
4,1.5,0.517
5,1.5,0.749
6,1.5,0.942
7,1.5,0.03
8,1.5,0.971
9,1.5,0.54
10,1.5,0.591
11,1.5,0.393
12,1.5,0.59
13,1.5,0.98
14,1.5,0.856
15,1.5,0.451
16,1.5,0.609
17,1.5,0.0
18,1.5,0.261
