trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.415,0.188,0.41,1.0,1,0.187,0.132,0.095,1.6,10,1000
2,0.579,0,0.182,0.0,0.186,0.152,0,0.0,0.0,0.0,1.6,10,1000
3,1.0,1,0.877,0.13,0.749,1.0,1,0.889,0.13,0.723,1.6,10,1000
4,1.0,1,0.718,0.017,0.741,1.0,1,0.983,0.182,0.601,1.6,10,1000
5,1.0,1,0.956,0.0,0.489,1.0,1,0.0,0.0,0.0,1.6,10,1000
6,1.0,1,0.682,0.122,0.359,1.0,1,0.139,0.051,0.129,1.6,10,1000
7,1.0,1,0.242,0.0,0.192,1.0,1,1.0,0.778,0.629,1.6,10,1000
8,0.0,0,0.0,0.0,0.207,1.0,1,1.0,1.0,1.0,1.6,10,1000
9,0.0,0,0.0,0.0,0.091,1.0,1,1.0,0.0,1.0,1.6,10,1000
10,0.813,0,0.164,0.0,0.223,0.994,0,0.852,0.0,0.694,1.6,10,1000
11,1.0,1,0.719,0.758,0.681,0.0,0,0.0,0.22,0.22,1.6,10,1000
12,1.0,1,0.849,0.716,0.846,1.0,1,0.0,0.106,0.244,1.6,10,1000
13,0.69,0,0.581,0.0,0.585,0.78,0,0.619,0.0,0.576,1.6,10,1000
14,0.986,0,0.976,0.0,0.593,0.957,0,0.901,0.0,0.583,1.6,10,1000
15,1.0,1,0.0,1.0,0.093,1.0,1,0.001,0.999,0.089,1.6,10,1000
16,1.0,1,0.191,1.0,0.321,0.0,0,0.0,0.817,0.196,1.6,10,1000
17,1.0,1,0.128,0.476,0.147,1.0,1,0.0,0.427,0.172,1.6,10,1000
18,1.0,1,0.071,0.493,0.118,1.0,1,0.052,0.446,0.072,1.6,10,1000
19,1.0,1,0.761,0.049,0.672,1.0,1,0.777,0.039,0.726,1.6,10,1000
20,1.0,1,0.929,0.036,0.715,1.0,1,0.934,0.046,0.61,1.6,10,1000
21,1.0,1,0.541,0.48,0.524,1.0,1,0.045,0.247,0.058,1.6,10,1000
22,1.0,1,1.0,0.95,0.833,1.0,1,0.044,0.0,0.122,1.6,10,1000
23,0.027,0,0.042,0.0,0.028,0.943,0,0.916,0.0,0.829,1.6,10,1000
24,1.0,1,0.598,0.015,0.588,1.0,1,0.975,0.201,0.836,1.6,10,1000
25,1.0,1,0.19,0.179,0.248,1.0,1,0.78,0.64,0.681,1.6,10,1000
26,1.0,1,0.097,0.027,0.092,1.0,1,0.946,0.399,0.547,1.6,10,1000
27,1.0,1,0.994,0.483,0.98,0.0,0,0.0,0.003,0.049,1.6,10,1000
28,1.0,1,0.955,0.154,0.822,0.0,0,0.0,0.009,0.0,1.6,10,1000
29,1.0,1,0.657,0.22,0.479,1.0,1,0.666,0.243,0.461,1.6,10,1000
30,1.0,1,0.631,0.279,0.575,1.0,1,0.532,0.244,0.433,1.6,10,1000
31,1.0,1,0.004,0.008,0.004,1.0,1,0.004,0.01,0.008,1.6,10,1000
32,0.0,0,0.0,0.196,0.169,1.0,1,0.662,0.521,0.665,1.6,10,1000
