trial,noise,A_whether
1,1.1,0.018
2,1.1,0.014
3,1.1,0.481
4,1.1,0.537
5,1.1,0.903
6,1.1,0.985
7,1.1,0.005
8,1.1,0.992
9,1.1,0.574
10,1.1,0.622
11,1.1,0.308
12,1.1,0.698
13,1.1,0.997
14,1.1,0.919
15,1.1,0.412
16,1.1,0.633
17,1.1,0.0
18,1.1,0.121
