trial,noise,A_whether
1,0.3,0.0
2,0.3,0.0
3,0.3,0.42
4,0.3,0.63
5,0.3,1.0
6,0.3,1.0
7,0.3,0.0
8,0.3,1.0
9,0.3,0.721
10,0.3,0.882
11,0.3,0.025
12,0.3,0.97
13,0.3,1.0
14,0.3,1.0
15,0.3,0.257
16,0.3,0.893
17,0.3,0.0
18,0.3,0.0
