trial,noise,A_whether
1,1.0,0.0
2,1.0,0.01
3,1.0,0.577
4,1.0,0.434
5,1.0,0.844
6,1.0,1.0
7,1.0,0.0
8,1.0,0.998
9,1.0,0.551
10,1.0,0.766
11,1.0,1.0
12,1.0,0.0
13,1.0,0.999
14,1.0,1.0
15,1.0,0.303
16,1.0,0.756
17,1.0,0.0
18,1.0,0.318
