trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.001,0.0,0.019,1.0,1,0.0,0.0,0.001,0.1,10,1000
2,0.0,0,0.0,0.0,0.001,0.0,0,0.0,0.0,0.0,0.1,10,1000
3,1.0,1,1.0,0.0,0.709,1.0,1,1.0,0.0,0.725,0.1,10,1000
4,1.0,1,1.0,0.0,0.97,1.0,1,1.0,0.0,0.669,0.1,10,1000
5,1.0,1,1.0,0.0,0.534,1.0,1,0.0,0.0,0.0,0.1,10,1000
6,1.0,1,1.0,0.0,0.435,1.0,1,0.0,0.0,0.0,0.1,10,1000
7,1.0,1,0.0,0.0,0.0,1.0,1,1.0,1.0,0.602,0.1,10,1000
8,0.0,0,0.0,0.0,0.183,1.0,1,1.0,1.0,1.0,0.1,10,1000
9,0.0,0,0.0,0.0,0.104,1.0,1,1.0,0.0,1.0,0.1,10,1000
10,1.0,0,0.0,0.0,0.145,1.0,0,1.0,0.0,0.749,0.1,10,1000
11,1.0,1,1.0,1.0,0.95,0.0,0,0.0,0.0,0.246,0.1,10,1000
12,1.0,1,1.0,1.0,0.997,1.0,1,0.0,0.0,0.23,0.1,10,1000
13,1.0,0,1.0,0.0,0.853,1.0,0,1.0,0.0,0.918,0.1,10,1000
14,1.0,0,1.0,0.0,0.617,1.0,0,1.0,0.0,0.611,0.1,10,1000
15,1.0,1,0.0,1.0,0.075,1.0,1,0.0,1.0,0.069,0.1,10,1000
16,1.0,1,0.0,1.0,0.282,0.0,0,0.0,1.0,0.175,0.1,10,1000
17,1.0,1,0.0,1.0,0.002,1.0,1,0.0,1.0,0.301,0.1,10,1000
18,1.0,1,0.0,1.0,0.061,1.0,1,0.0,1.0,0.047,0.1,10,1000
19,1.0,1,1.0,0.0,0.842,1.0,1,1.0,0.0,0.821,0.1,10,1000
20,1.0,1,1.0,0.0,0.768,1.0,1,1.0,0.0,0.652,0.1,10,1000
21,1.0,1,1.0,1.0,0.964,1.0,1,0.0,0.0,0.011,0.1,10,1000
22,1.0,1,1.0,1.0,0.827,1.0,1,0.0,0.0,0.093,0.1,10,1000
23,0.0,0,0.0,0.0,0.0,1.0,0,1.0,0.0,0.902,0.1,10,1000
24,1.0,1,0.0,0.0,0.1,1.0,1,1.0,0.0,0.867,0.1,10,1000
25,1.0,1,0.0,0.0,0.002,1.0,1,1.0,1.0,0.87,0.1,10,1000
26,1.0,1,0.0,0.0,0.006,1.0,1,1.0,1.0,0.578,0.1,10,1000
27,1.0,1,1.0,0.0,0.993,0.0,0,0.0,0.0,0.036,0.1,10,1000
28,1.0,1,1.0,0.0,0.918,0.0,0,0.0,0.0,0.0,0.1,10,1000
29,1.0,1,1.0,0.0,0.674,1.0,1,1.0,0.0,0.657,0.1,10,1000
30,1.0,1,1.0,0.0,0.891,1.0,1,1.0,0.0,0.843,0.1,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.1,10,1000
32,0.0,0,0.0,0.0,0.17,1.0,1,0.0,0.0,0.1,0.1,10,1000
