trial,noise,A_whether
1,0.9,0.005
2,0.9,0.004
3,0.9,0.46
4,0.9,0.525
5,0.9,0.947
6,0.9,0.998
7,0.9,0.0
8,0.9,1.0
9,0.9,0.585
10,0.9,0.665
11,0.9,0.261
12,0.9,0.761
13,0.9,1.0
14,0.9,0.955
15,0.9,0.412
16,0.9,0.672
17,0.9,0.0
18,0.9,0.045
