trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.251,0.135,0.242,1.0,1,0.156,0.111,0.06,0.9,10,1000
2,0.458,0,0.145,0.0,0.13,0.127,0,0.0,0.0,0.0,0.9,10,1000
3,1.0,1,0.839,0.156,0.731,1.0,1,0.852,0.149,0.735,0.9,10,1000
4,1.0,1,0.752,0.0,0.727,1.0,1,1.0,0.193,0.641,0.9,10,1000
5,1.0,1,0.998,0.0,0.499,1.0,1,0.0,0.0,0.0,0.9,10,1000
6,1.0,1,0.835,0.041,0.378,1.0,1,0.04,0.009,0.041,0.9,10,1000
7,1.0,1,0.026,0.0,0.059,1.0,1,1.0,0.973,0.591,0.9,10,1000
8,0.0,0,0.0,0.0,0.187,1.0,1,1.0,1.0,1.0,0.9,10,1000
9,0.0,0,0.0,0.0,0.104,1.0,1,1.0,0.0,1.0,0.9,10,1000
10,0.909,0,0.041,0.0,0.223,1.0,0,0.962,0.0,0.709,0.9,10,1000
11,1.0,1,0.845,0.807,0.776,0.0,0,0.0,0.127,0.214,0.9,10,1000
12,1.0,1,0.929,0.824,0.913,1.0,1,0.0,0.051,0.242,0.9,10,1000
13,0.798,0,0.701,0.0,0.695,0.927,0,0.749,0.0,0.75,0.9,10,1000
14,1.0,0,1.0,0.0,0.615,0.999,0,0.988,0.0,0.575,0.9,10,1000
15,1.0,1,0.0,1.0,0.088,1.0,1,0.0,1.0,0.077,0.9,10,1000
16,1.0,1,0.062,1.0,0.302,0.0,0,0.0,0.949,0.165,0.9,10,1000
17,1.0,1,0.019,0.77,0.041,1.0,1,0.0,0.767,0.261,0.9,10,1000
18,1.0,1,0.006,0.808,0.076,1.0,1,0.004,0.779,0.051,0.9,10,1000
19,1.0,1,0.896,0.003,0.755,1.0,1,0.911,0.004,0.759,0.9,10,1000
20,1.0,1,0.983,0.001,0.737,1.0,1,0.996,0.008,0.607,0.9,10,1000
21,1.0,1,0.706,0.673,0.651,1.0,1,0.001,0.224,0.01,0.9,10,1000
22,1.0,1,1.0,0.997,0.827,1.0,1,0.001,0.0,0.088,0.9,10,1000
23,0.013,0,0.013,0.0,0.013,0.999,0,0.987,0.0,0.898,0.9,10,1000
24,1.0,1,0.453,0.0,0.459,1.0,1,1.0,0.172,0.867,0.9,10,1000
25,1.0,1,0.05,0.075,0.105,1.0,1,0.917,0.878,0.798,0.9,10,1000
26,1.0,1,0.129,0.003,0.157,1.0,1,0.996,0.591,0.573,0.9,10,1000
27,1.0,1,1.0,0.303,0.989,0.0,0,0.0,0.0,0.039,0.9,10,1000
28,1.0,1,0.998,0.036,0.855,0.0,0,0.0,0.001,0.001,0.9,10,1000
29,1.0,1,0.772,0.152,0.527,1.0,1,0.836,0.203,0.524,0.9,10,1000
30,1.0,1,0.782,0.196,0.689,1.0,1,0.687,0.171,0.578,0.9,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.9,10,1000
32,0.0,0,0.0,0.197,0.189,1.0,1,0.391,0.288,0.43,0.9,10,1000
