trial,noise,A_whether
1,1.1,0.0
2,1.1,0.012
3,1.1,0.531
4,1.1,0.419
5,1.1,0.852
6,1.1,1.0
7,1.1,0.002
8,1.1,0.998
9,1.1,0.581
10,1.1,0.731
11,1.1,1.0
12,1.1,0.0
13,1.1,0.997
14,1.1,1.0
15,1.1,0.31
16,1.1,0.76
17,1.1,0.0
18,1.1,0.351
