trial,noise,A_whether
1,1.3,0.056
2,1.3,0.03
3,1.3,0.483
4,1.3,0.534
5,1.3,0.83
6,1.3,0.969
7,1.3,0.019
8,1.3,0.979
9,1.3,0.535
10,1.3,0.599
11,1.3,0.353
12,1.3,0.67
13,1.3,0.992
14,1.3,0.885
15,1.3,0.456
16,1.3,0.644
17,1.3,0.001
18,1.3,0.191
