trial,noise,A_whether
1,0.6,0.0
2,0.6,0.0
3,0.6,0.462
4,0.6,0.586
5,0.6,0.996
6,0.6,1.0
7,0.6,0.0
8,0.6,1.0
9,0.6,0.611
10,0.6,0.705
11,0.6,0.155
12,0.6,0.844
13,0.6,1.0
14,0.6,0.994
15,0.6,0.353
16,0.6,0.764
17,0.6,0.0
18,0.6,0.004
