trial,A_difference,A_how,A_whether,A_sufficient,A_robust,B_difference,B_how,B_whether,B_sufficient,B_robust,noise,perturb,n_simulations
1,1.0,1,0.148,0.077,0.149,1.0,1,0.109,0.073,0.048,0.7,10,1000
2,0.377,0,0.089,0.0,0.086,0.135,0,0.0,0.0,0.0,0.7,10,1000
3,1.0,1,0.869,0.137,0.72,1.0,1,0.862,0.125,0.752,0.7,10,1000
4,1.0,1,0.794,0.0,0.756,1.0,1,1.0,0.159,0.617,0.7,10,1000
5,1.0,1,1.0,0.0,0.508,1.0,1,0.0,0.0,0.0,0.7,10,1000
6,1.0,1,0.909,0.022,0.41,1.0,1,0.011,0.002,0.012,0.7,10,1000
7,1.0,1,0.008,0.0,0.026,1.0,1,1.0,0.994,0.624,0.7,10,1000
8,0.0,0,0.0,0.0,0.191,1.0,1,1.0,1.0,1.0,0.7,10,1000
9,0.0,0,0.0,0.0,0.084,1.0,1,1.0,0.0,1.0,0.7,10,1000
10,0.955,0,0.022,0.0,0.18,1.0,0,0.984,0.0,0.714,0.7,10,1000
11,1.0,1,0.882,0.897,0.837,0.0,0,0.0,0.085,0.212,0.7,10,1000
12,1.0,1,0.972,0.886,0.956,1.0,1,0.0,0.027,0.236,0.7,10,1000
13,0.858,0,0.77,0.0,0.716,0.972,0,0.82,0.0,0.756,0.7,10,1000
14,1.0,0,0.999,0.0,0.612,1.0,0,0.998,0.0,0.588,0.7,10,1000
15,1.0,1,0.0,1.0,0.059,1.0,1,0.0,1.0,0.081,0.7,10,1000
16,1.0,1,0.025,1.0,0.283,0.0,0,0.0,0.977,0.205,0.7,10,1000
17,1.0,1,0.006,0.863,0.029,1.0,1,0.0,0.884,0.277,0.7,10,1000
18,1.0,1,0.0,0.872,0.085,1.0,1,0.002,0.896,0.039,0.7,10,1000
19,1.0,1,0.961,0.0,0.779,1.0,1,0.949,0.0,0.778,0.7,10,1000
20,1.0,1,0.997,0.001,0.769,1.0,1,1.0,0.004,0.579,0.7,10,1000
21,1.0,1,0.719,0.758,0.724,1.0,1,0.0,0.173,0.01,0.7,10,1000
22,1.0,1,1.0,1.0,0.834,1.0,1,0.0,0.0,0.074,0.7,10,1000
23,0.007,0,0.003,0.0,0.006,0.999,0,0.998,0.0,0.921,0.7,10,1000
24,1.0,1,0.36,0.0,0.386,1.0,1,1.0,0.189,0.854,0.7,10,1000
25,1.0,1,0.025,0.03,0.051,1.0,1,0.965,0.937,0.833,0.7,10,1000
26,1.0,1,0.126,0.0,0.135,1.0,1,1.0,0.693,0.537,0.7,10,1000
27,1.0,1,1.0,0.24,0.997,0.0,0,0.0,0.0,0.036,0.7,10,1000
28,1.0,1,0.999,0.008,0.9,0.0,0,0.0,0.0,0.001,0.7,10,1000
29,1.0,1,0.801,0.091,0.578,1.0,1,0.869,0.168,0.561,0.7,10,1000
30,1.0,1,0.833,0.201,0.727,1.0,1,0.774,0.147,0.628,0.7,10,1000
31,1.0,1,0.0,0.0,0.0,1.0,1,0.0,0.0,0.0,0.7,10,1000
32,0.0,0,0.0,0.139,0.191,1.0,1,0.257,0.187,0.345,0.7,10,1000
