trial,noise,A_whether
1,0.3,0.0
2,0.3,0.0
3,0.3,0.725
4,0.3,0.22
5,0.3,1.0
6,0.3,1.0
7,0.3,0.0
8,0.3,1.0
9,0.3,0.761
10,0.3,0.998
11,0.3,1.0
12,0.3,0.0
13,0.3,1.0
14,0.3,1.0
15,0.3,0.047
16,0.3,0.989
17,0.3,0.0
18,0.3,0.0
