date,data,extra,feedback
5/27/11,"11,15,2,11,16,76,3,10,10,85,13,0,1,2,18,98,17,100,4,13,8,0,7,2,9,87,15,91,6,100,12,97,5,100,14,78","1,29,0,10,5.051066666666666",""
5/27/11,"12,94,16,44,3,18,9,37,1,13,11,87,10,14,2,68,15,20,17,72,6,87,7,10,13,9,5,95,4,36,14,38,8,10,18,92","1,46,1,8,6.25625",""
5/27/11,"17,7,3,8,15,4,12,92,10,95,14,90,4,50,7,8,1,7,6,96,2,89,13,95,8,90,18,94,16,8,11,100,5,96,9,93","1,38,0,10,7.102616666666667",""
5/27/11,"12,100,1,0,3,70,6,99,18,100,13,0,14,0,7,0,16,75,10,1,15,0,11,97,9,98,4,97,8,1,5,97,17,100,2,0","2,21,0,10,5.481966666666667","This was fun!"
5/27/11,"7,5,15,86,17,98,14,72,2,0,5,100,10,19,18,100,3,92,12,100,16,36,11,100,1,1,13,0,9,92,6,99,8,0,4,63","2,39,1,10,6.246666666666667",""
5/27/11,"13,0,12,100,7,0,16,66,14,0,9,77,3,100,10,82,6,100,4,29,17,100,5,100,8,0,2,0,1,1,15,91,18,100,11,100","2,30,1,10,4.3940166666666665",""
5/27/11,"9,20,11,100,5,100,18,100,6,100,12,100,2,0,13,0,17,100,15,87,4,39,16,100,3,100,1,0,14,0,7,0,8,0,10,90","2,41,1,9,5.2818",""
5/27/11,"9,55,11,40,13,100,18,100,17,100,12,100,15,58,1,1,4,45,10,43,14,0,3,28,5,100,6,89,8,0,7,0,16,42,2,0","2,27,0,7,4.5782",""
5/27/11,"4,30,15,60,18,98,13,31,11,82,7,16,5,97,8,4,16,57,9,47,17,99,14,2,10,18,1,3,12,83,6,68,2,69,3,62","1,39,0,10,5.546866666666666",""
5/27/11,"4,41,16,73,2,0,17,100,7,0,11,100,5,100,12,100,10,80,3,78,1,13,14,2,6,91,13,7,18,99,15,99,8,5,9,65","2,25,0,9,5.2055",""
5/27/11,"1,8,6,82,16,42,11,55,14,6,2,5,8,57,9,33,17,93,18,99,5,98,10,27,12,72,15,68,13,10,7,5,3,37,4,33","1,38,0,10,5.673916666666667","This experiment was more fun than I expected!"
5/27/11,"9,27,8,20,13,18,12,70,18,100,11,100,2,22,17,100,16,35,1,0,10,37,5,100,4,0,3,42,14,13,7,0,15,57,6,100","1,22,0,10,5.13505",""
