participant,trial,order,ball,causation,outcome
1,1,10,a,80,prevented
1,1,10,b,80,prevented
1,2,17,a,30,prevented
1,2,17,b,30,prevented
1,3,20,a,100,caused
1,3,20,b,100,caused
1,4,12,a,50,caused
1,4,12,b,80,caused
1,5,21,a,90,prevented
1,5,21,b,10,prevented
1,6,19,a,100,prevented
1,6,19,b,11,prevented
1,7,29,a,60,caused
1,7,29,b,100,caused
1,8,31,a,10,caused
1,8,31,b,80,caused
1,9,30,a,0,prevented
1,9,30,b,100,prevented
1,10,13,a,20,prevented
1,10,13,b,20,prevented
1,11,9,a,100,caused
1,11,9,b,0,caused
1,12,26,a,40,caused
1,12,26,b,20,caused
1,13,34,a,30,prevented
1,13,34,b,90,prevented
1,14,5,a,40,prevented
1,14,5,b,60,prevented
1,15,27,a,91,caused
1,15,27,b,93,caused
1,16,32,a,100,caused
1,16,32,b,0,caused
1,17,15,a,80,prevented
1,17,15,b,70,prevented
1,18,18,a,70,prevented
1,18,18,b,80,prevented
1,19,14,a,10,caused
1,19,14,b,10,caused
1,20,4,a,20,caused
1,20,4,b,91,caused
1,21,23,a,60,prevented
1,21,23,b,50,prevented
1,22,24,a,80,prevented
1,22,24,b,100,prevented
1,23,7,a,0,caused
1,23,7,b,100,caused
1,24,8,a,60,caused
1,24,8,b,71,caused
1,25,28,a,73,prevented
1,25,28,b,91,prevented
1,26,25,a,61,prevented
1,26,25,b,90,prevented
1,27,33,a,40,caused
1,27,33,b,0,caused
1,28,3,a,100,caused
1,28,3,b,0,caused
1,29,22,a,40,prevented
1,29,22,b,80,prevented
1,30,6,a,100,prevented
1,30,6,b,60,prevented
1,31,11,a,50,caused
1,31,11,b,70,caused
1,32,16,a,0,caused
1,32,16,b,61,caused
2,1,6,a,95,prevented
2,1,6,b,94,prevented
2,2,28,a,99,prevented
2,2,28,b,100,prevented
2,3,13,a,98,caused
2,3,13,b,99,caused
2,4,3,a,9,caused
2,4,3,b,99,caused
2,5,9,a,98,prevented
2,5,9,b,63,prevented
2,6,14,a,96,prevented
2,6,14,b,4,prevented
2,7,10,a,99,caused
2,7,10,b,77,caused
2,8,23,a,0,caused
2,8,23,b,100,caused
2,9,16,a,0,prevented
2,9,16,b,100,prevented
2,10,17,a,1,prevented
2,10,17,b,55,prevented
2,11,19,a,83,caused
2,11,19,b,1,caused
2,12,33,a,48,caused
2,12,33,b,97,caused
2,13,22,a,0,prevented
2,13,22,b,1,prevented
2,14,7,a,0,prevented
2,14,7,b,0,prevented
2,15,30,a,99,caused
2,15,30,b,98,caused
2,16,29,a,1,caused
2,16,29,b,100,caused
2,17,32,a,98,prevented
2,17,32,b,99,prevented
2,18,34,a,100,prevented
2,18,34,b,100,prevented
2,19,5,a,100,caused
2,19,5,b,100,caused
2,20,18,a,34,caused
2,20,18,b,98,caused
2,21,21,a,97,prevented
2,21,21,b,88,prevented
2,22,12,a,98,prevented
2,22,12,b,5,prevented
2,23,11,a,0,caused
2,23,11,b,19,caused
2,24,20,a,75,caused
2,24,20,b,100,caused
2,25,24,a,10,prevented
2,25,24,b,99,prevented
2,26,26,a,26,prevented
2,26,26,b,98,prevented
2,27,15,a,100,caused
2,27,15,b,1,caused
2,28,31,a,99,caused
2,28,31,b,0,caused
2,29,27,a,98,prevented
2,29,27,b,71,prevented
2,30,8,a,51,prevented
2,30,8,b,94,prevented
2,31,4,a,98,caused
2,31,4,b,99,caused
2,32,25,a,0,caused
2,32,25,b,100,caused
3,1,16,a,0,prevented
3,1,16,b,1,prevented
3,2,19,a,51,prevented
3,2,19,b,50,prevented
3,3,29,a,50,caused
3,3,29,b,51,caused
3,4,31,a,50,caused
3,4,31,b,51,caused
3,5,6,a,99,prevented
3,5,6,b,0,prevented
3,6,8,a,89,prevented
3,6,8,b,18,prevented
3,7,14,a,51,caused
3,7,14,b,50,caused
3,8,4,a,0,caused
3,8,4,b,100,caused
3,9,9,a,0,prevented
3,9,9,b,100,prevented
3,10,30,a,41,prevented
3,10,30,b,19,prevented
3,11,17,a,99,caused
3,11,17,b,0,caused
3,12,25,a,100,caused
3,12,25,b,19,caused
3,13,11,a,40,prevented
3,13,11,b,70,prevented
3,14,20,a,50,prevented
3,14,20,b,49,prevented
3,15,22,a,100,caused
3,15,22,b,100,caused
3,16,7,a,100,caused
3,16,7,b,0,caused
3,17,21,a,60,prevented
3,17,21,b,39,prevented
3,18,26,a,51,prevented
3,18,26,b,49,prevented
3,19,33,a,11,caused
3,19,33,b,10,caused
3,20,24,a,50,caused
3,20,24,b,50,caused
3,21,10,a,50,prevented
3,21,10,b,50,prevented
3,22,27,a,69,prevented
3,22,27,b,40,prevented
3,23,23,a,1,caused
3,23,23,b,50,caused
3,24,28,a,50,caused
3,24,28,b,50,caused
3,25,12,a,48,prevented
3,25,12,b,50,prevented
3,26,3,a,31,prevented
3,26,3,b,90,prevented
3,27,13,a,100,caused
3,27,13,b,0,caused
3,28,18,a,89,caused
3,28,18,b,0,caused
3,29,34,a,39,prevented
3,29,34,b,40,prevented
3,30,32,a,20,prevented
3,30,32,b,40,prevented
3,31,5,a,19,caused
3,31,5,b,0,caused
3,32,15,a,0,caused
3,32,15,b,100,caused
4,1,22,a,70,prevented
4,1,22,b,50,prevented
4,2,21,a,100,prevented
4,2,21,b,0,prevented
4,3,17,a,80,caused
4,3,17,b,80,caused
4,4,5,a,30,caused
4,4,5,b,100,caused
4,5,20,a,100,prevented
4,5,20,b,0,prevented
4,6,27,a,100,prevented
4,6,27,b,20,prevented
4,7,3,a,50,caused
4,7,3,b,100,caused
4,8,12,a,0,caused
4,8,12,b,100,caused
4,9,31,a,0,prevented
4,9,31,b,100,prevented
4,10,18,a,0,prevented
4,10,18,b,100,prevented
4,11,29,a,100,caused
4,11,29,b,0,caused
4,12,15,a,100,caused
4,12,15,b,0,caused
4,13,30,a,0,prevented
4,13,30,b,100,prevented
4,14,8,a,50,prevented
4,14,8,b,50,prevented
4,15,6,a,100,caused
4,15,6,b,100,caused
4,16,28,a,100,caused
4,16,28,b,0,caused
4,17,33,a,100,prevented
4,17,33,b,20,prevented
4,18,19,a,70,prevented
4,18,19,b,100,prevented
4,19,10,a,0,caused
4,19,10,b,0,caused
4,20,9,a,60,caused
4,20,9,b,100,caused
4,21,24,a,100,prevented
4,21,24,b,20,prevented
4,22,23,a,50,prevented
4,22,23,b,100,prevented
4,23,7,a,0,caused
4,23,7,b,100,caused
4,24,11,a,30,caused
4,24,11,b,100,caused
4,25,13,a,30,prevented
4,25,13,b,100,prevented
4,26,14,a,60,prevented
4,26,14,b,90,prevented
4,27,32,a,100,caused
4,27,32,b,0,caused
4,28,16,a,100,caused
4,28,16,b,0,caused
4,29,25,a,20,prevented
4,29,25,b,100,prevented
4,30,4,a,60,prevented
4,30,4,b,100,prevented
4,31,34,a,0,caused
4,31,34,b,0,caused
4,32,26,a,0,caused
4,32,26,b,100,caused
5,1,34,a,21,prevented
5,1,34,b,32,prevented
5,2,12,a,53,prevented
5,2,12,b,52,prevented
5,3,26,a,87,caused
5,3,26,b,88,caused
5,4,21,a,95,caused
5,4,21,b,99,caused
5,5,15,a,98,prevented
5,5,15,b,11,prevented
5,6,20,a,89,prevented
5,6,20,b,6,prevented
5,7,11,a,72,caused
5,7,11,b,88,caused
5,8,22,a,2,caused
5,8,22,b,98,caused
5,9,31,a,15,prevented
5,9,31,b,96,prevented
5,10,9,a,45,prevented
5,10,9,b,94,prevented
5,11,32,a,93,caused
5,11,32,b,7,caused
5,12,6,a,90,caused
5,12,6,b,32,caused
5,13,19,a,1,prevented
5,13,19,b,98,prevented
5,14,3,a,70,prevented
5,14,3,b,70,prevented
5,15,29,a,75,caused
5,15,29,b,76,caused
5,16,18,a,96,caused
5,16,18,b,0,caused
5,17,27,a,31,prevented
5,17,27,b,50,prevented
5,18,10,a,53,prevented
5,18,10,b,69,prevented
5,19,17,a,22,caused
5,19,17,b,22,caused
5,20,33,a,32,caused
5,20,33,b,74,caused
5,21,7,a,80,prevented
5,21,7,b,39,prevented
5,22,8,a,99,prevented
5,22,8,b,10,prevented
5,23,5,a,15,caused
5,23,5,b,99,caused
5,24,25,a,19,caused
5,24,25,b,89,caused
5,25,30,a,52,prevented
5,25,30,b,93,prevented
5,26,23,a,28,prevented
5,26,23,b,95,prevented
5,27,28,a,22,caused
5,27,28,b,1,caused
5,28,14,a,98,caused
5,28,14,b,1,caused
5,29,13,a,61,prevented
5,29,13,b,91,prevented
5,30,24,a,72,prevented
5,30,24,b,32,prevented
5,31,16,a,22,caused
5,31,16,b,23,caused
5,32,4,a,99,caused
5,32,4,b,0,caused
6,1,23,a,0,prevented
6,1,23,b,0,prevented
6,2,22,a,0,prevented
6,2,22,b,0,prevented
6,3,14,a,100,caused
6,3,14,b,100,caused
6,4,32,a,50,caused
6,4,32,b,50,caused
6,5,28,a,1,prevented
6,5,28,b,100,prevented
6,6,24,a,100,prevented
6,6,24,b,1,prevented
6,7,31,a,30,caused
6,7,31,b,100,caused
6,8,20,a,0,caused
6,8,20,b,100,caused
6,9,19,a,0,prevented
6,9,19,b,92,prevented
6,10,15,a,10,prevented
6,10,15,b,10,prevented
6,11,34,a,100,caused
6,11,34,b,0,caused
6,12,5,a,99,caused
6,12,5,b,70,caused
6,13,30,a,0,prevented
6,13,30,b,1,prevented
6,14,26,a,0,prevented
6,14,26,b,2,prevented
6,15,4,a,78,caused
6,15,4,b,79,caused
6,16,27,a,99,caused
6,16,27,b,0,caused
6,17,25,a,80,prevented
6,17,25,b,60,prevented
6,18,8,a,19,prevented
6,18,8,b,19,prevented
6,19,9,a,81,caused
6,19,9,b,82,caused
6,20,21,a,50,caused
6,20,21,b,50,caused
6,21,7,a,29,prevented
6,21,7,b,30,prevented
6,22,33,a,100,prevented
6,22,33,b,0,prevented
6,23,17,a,1,caused
6,23,17,b,42,caused
6,24,11,a,50,caused
6,24,11,b,50,caused
6,25,18,a,99,prevented
6,25,18,b,50,prevented
6,26,13,a,0,prevented
6,26,13,b,100,prevented
6,27,29,a,100,caused
6,27,29,b,18,caused
6,28,10,a,100,caused
6,28,10,b,0,caused
6,29,12,a,70,prevented
6,29,12,b,30,prevented
6,30,3,a,50,prevented
6,30,3,b,100,prevented
6,31,16,a,50,caused
6,31,16,b,100,caused
6,32,6,a,0,caused
6,32,6,b,100,caused
7,1,3,a,79,prevented
7,1,3,b,80,prevented
7,2,11,a,0,prevented
7,2,11,b,0,prevented
7,3,24,a,100,caused
7,3,24,b,100,caused
7,4,6,a,100,caused
7,4,6,b,99,caused
7,5,7,a,100,prevented
7,5,7,b,1,prevented
